station	replica	date	time	depth	mesh_size	type	med_size	n
RN2	1	2/25/2020	09:03:00 AM	0	330	1	1750	2
RN2	1	2/25/2020	09:03:00 AM	0	330	1	2250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	1	2750	0
RN2	1	2/25/2020	09:03:00 AM	0	330	1	3250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	1	3750	0
RN2	1	2/25/2020	09:03:00 AM	0	330	1	4250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	1	4750	0
RN2	1	2/25/2020	09:03:00 AM	0	330	1	17500	0
RN2	1	2/25/2020	09:03:00 AM	0	330	2	125	0
RN2	1	2/25/2020	09:03:00 AM	0	330	2	225	1
RN2	1	2/25/2020	09:03:00 AM	0	330	2	375	20
RN2	1	2/25/2020	09:03:00 AM	0	330	2	750	10
RN2	1	2/25/2020	09:03:00 AM	0	330	2	1250	2
RN2	1	2/25/2020	09:03:00 AM	0	330	2	1750	2
RN2	1	2/25/2020	09:03:00 AM	0	330	2	2250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	2	2750	2
RN2	1	2/25/2020	09:03:00 AM	0	330	2	3250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	2	3750	1
RN2	1	2/25/2020	09:03:00 AM	0	330	2	4250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	2	4750	0
RN2	1	2/25/2020	09:03:00 AM	0	330	2	17500	2
RN2	1	2/25/2020	09:03:00 AM	0	330	3	125	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	225	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	375	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	750	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	1250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	1750	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	2250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	2750	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	3250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	3750	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	4250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	4750	0
RN2	1	2/25/2020	09:03:00 AM	0	330	3	17500	0
RN2	2	2/25/2020	09:03:00 AM	0	330	0	125	53
RN2	2	2/25/2020	09:03:00 AM	0	330	0	225	63
RN2	2	2/25/2020	09:03:00 AM	0	330	0	375	64
RN2	2	2/25/2020	09:03:00 AM	0	330	0	750	124
RN2	2	2/25/2020	09:03:00 AM	0	330	0	1250	39
RN2	2	2/25/2020	09:03:00 AM	0	330	0	1750	15
RN2	2	2/25/2020	09:03:00 AM	0	330	0	2250	7
RN2	2	2/25/2020	09:03:00 AM	0	330	0	2750	23
RN2	2	2/25/2020	09:03:00 AM	0	330	0	3250	1
RN2	2	2/25/2020	09:03:00 AM	0	330	0	3750	3
RN2	2	2/25/2020	09:03:00 AM	0	330	0	4250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	0	4750	2
RN2	2	2/25/2020	09:03:00 AM	0	330	0	17500	4
RN2	2	2/25/2020	09:03:00 AM	0	330	1	125	36
RN2	2	2/25/2020	09:03:00 AM	0	330	1	225	3
RN2	2	2/25/2020	09:03:00 AM	0	330	1	375	6
RN2	2	2/25/2020	09:03:00 AM	0	330	1	750	2
RN2	2	2/25/2020	09:03:00 AM	0	330	1	1250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	1	1750	1
RN2	2	2/25/2020	09:03:00 AM	0	330	1	2250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	1	2750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	1	3250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	1	3750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	1	4250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	1	4750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	1	17500	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	125	1
RN2	2	2/25/2020	09:03:00 AM	0	330	2	225	4
RN2	2	2/25/2020	09:03:00 AM	0	330	2	375	3
RN2	2	2/25/2020	09:03:00 AM	0	330	2	750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	1250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	1750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	2250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	2750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	3250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	3750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	4250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	4750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	2	17500	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	125	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	225	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	375	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	1250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	1750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	2250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	2750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	3250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	3750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	4250	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	4750	0
RN2	2	2/25/2020	09:03:00 AM	0	330	3	17500	0
RN2	1	9/23/2020	11:24:00 AM	0	330	0	125	29
RN2	1	9/23/2020	11:24:00 AM	0	330	0	225	27
RN2	1	9/23/2020	11:24:00 AM	0	330	0	375	48
RN2	1	9/23/2020	11:24:00 AM	0	330	0	750	71
RN2	1	9/23/2020	11:24:00 AM	0	330	0	1250	22
RN2	1	9/23/2020	11:24:00 AM	0	330	0	1750	5
RN2	1	9/23/2020	11:24:00 AM	0	330	0	2250	2
RN2	1	9/23/2020	11:24:00 AM	0	330	0	2750	12
RN2	1	9/23/2020	11:24:00 AM	0	330	0	3250	1
RN2	1	9/23/2020	11:24:00 AM	0	330	0	3750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	0	4250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	0	4750	2
RN2	1	9/23/2020	11:24:00 AM	0	330	0	17500	1
RN2	1	9/23/2020	11:24:00 AM	0	330	1	125	13
RN2	1	9/23/2020	11:24:00 AM	0	330	1	225	37
RN2	1	9/23/2020	11:24:00 AM	0	330	1	375	28
RN2	1	9/23/2020	11:24:00 AM	0	330	1	750	9
RN2	1	9/23/2020	11:24:00 AM	0	330	1	1250	3
RN2	1	9/23/2020	11:24:00 AM	0	330	1	1750	2
RN2	1	9/23/2020	11:24:00 AM	0	330	1	2250	1
RN2	1	9/23/2020	11:24:00 AM	0	330	1	2750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	1	3250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	1	3750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	1	4250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	1	4750	1
RN2	1	9/23/2020	11:24:00 AM	0	330	1	17500	2
RN2	1	9/23/2020	11:24:00 AM	0	330	2	125	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	225	1
RN2	1	9/23/2020	11:24:00 AM	0	330	2	375	3
RN2	1	9/23/2020	11:24:00 AM	0	330	2	750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	1250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	1750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	2250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	2750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	3250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	3750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	4250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	4750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	2	17500	0
RN2	1	9/23/2020	11:24:00 AM	0	330	3	125	8
RN2	1	9/23/2020	11:24:00 AM	0	330	3	225	8
RN2	1	9/23/2020	11:24:00 AM	0	330	3	375	4
RN2	1	9/23/2020	11:24:00 AM	0	330	3	750	2
RN2	1	9/23/2020	11:24:00 AM	0	330	3	1250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	3	1750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	3	2250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	3	2750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	3	3250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	3	3750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	3	4250	0
RN2	1	9/23/2020	11:24:00 AM	0	330	3	4750	0
RN2	1	9/23/2020	11:24:00 AM	0	330	3	17500	0
