    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  56.135864    23.9642     4.5431    197.745 1.3551e+02     0.0729     24.304    38.1509 0.0000e+00
  56.136336    23.9642     4.5406    197.636 1.3508e+02     0.0648     24.552    38.1511 0.0000e+00
  56.136612    23.9644     4.5452    197.835 1.3298e+02     0.0715     24.800    38.1512 0.0000e+00
  56.136660    23.9644     4.5437    197.771 1.3204e+02     0.0746     25.048    38.1511 0.0000e+00
  56.136849    23.9644     4.5451    197.830 1.3076e+02     0.0752     25.296    38.1511 0.0000e+00
  56.137787    23.9644     4.5340    197.348 1.3311e+02     0.0894     25.544    38.1518 0.0000e+00
  56.140080    23.9646     4.5315    197.241 1.2542e+02     0.0820     25.792    38.1532 0.0000e+00
  56.145018    23.9655     4.5369    197.475 1.3212e+02     0.0786     26.040    38.1561 0.0000e+00
  56.156727    23.9682     4.5463    197.882 1.2323e+02     0.0773     26.288    38.1628 0.0000e+00
  56.165248    23.9726     4.5501    198.055 1.2493e+02     0.0770     26.536    38.1655 0.0000e+00
  56.161788    23.9739     4.5576    198.392 1.2710e+02     0.0815     26.784    38.1616 0.0000e+00
  56.142142    23.9683     4.5601    198.505 1.2671e+02     0.0852     27.032    38.1513 0.0000e+00
  56.086894    23.9497     4.5444    197.800 1.0741e+02     0.0775     27.280    38.1247 0.0000e+00
  55.963798    23.9019     4.5601    198.457 1.0913e+02     0.0927     27.528    38.0711 0.0000e+00
  55.769556    23.8032     4.6118    200.715 1.2065e+02     0.0706     27.776    38.0063 0.0000e+00
  55.537542    23.6447     4.6834    203.823 1.1353e+02     0.0597     28.024    37.9635 0.0000e+00
  55.349742    23.4531     4.7526    206.819 1.0416e+02     0.0748     28.272    37.9830 0.0000e+00
  55.196951    23.3010     4.7987    208.827 1.1196e+02     0.0819     28.520    37.9956 0.0000e+00
  55.053172    23.1790     4.8182    209.668 1.0583e+02     0.1172     28.768    37.9890 0.0000e+00
  54.958743    23.0735     4.8083    209.237 1.0270e+02     0.1244     29.016    38.0067 0.0000e+00
  54.890029    22.9930     4.7991    208.839 1.0443e+02     0.1522     29.264    38.0227 0.0000e+00
  54.819475    22.9295     4.8048    209.077 1.0432e+02     0.1567     29.512    38.0226 0.0000e+00
  54.753497    22.8697     4.8075    209.190 1.0293e+02     0.1538     29.760    38.0228 0.0000e+00
  54.675732    22.8131     4.8126    209.427 1.0261e+02     0.1744     30.008    38.0110 0.0000e+00
  54.600476    22.7516     4.8307    210.220 9.5553e+01     0.1829     30.256    38.0053 0.0000e+00
  54.533100    22.6920     4.8407    210.633 9.5859e+01     0.1837     30.504    38.0042 0.0000e+00
  54.438206    22.6332     4.8477    210.918 1.0176e+02     0.2014     30.752    37.9807 0.0000e+00
  54.271910    22.5505     4.8652    211.673 1.0326e+02     0.2074     31.000    37.9216 0.0000e+00
  54.068245    22.4153     4.8864    212.607 1.0085e+02     0.1975     31.247    37.8786 0.0000e+00
  53.912717    22.2516     4.9084    213.559 9.5690e+01     0.2248     31.495    37.8983 0.0000e+00
  53.807029    22.1181     4.9141    213.799 9.2803e+01     0.2289     31.743    37.9311 0.0000e+00
  53.695131    22.0223     4.9264    214.326 1.0064e+02     0.2273     31.991    37.9261 0.0000e+00
  53.537637    21.9237     4.9384    214.824 9.5069e+01     0.3147     32.239    37.8869 0.0000e+00
  53.364807    21.7942     4.9630    215.888 8.8596e+01     0.2605     32.487    37.8626 0.0000e+00
  53.182730    21.6421     4.9989    217.455 8.7795e+01     0.2656     32.735    37.8504 0.0000e+00
  53.000087    21.4722     5.0383    219.182 9.0540e+01     0.2658     32.984    37.8533 0.0000e+00
  52.845053    21.3164     5.0432    219.362 8.9919e+01     0.2778     33.232    37.8660 0.0000e+00
  52.671366    21.1802     5.0464    219.467 9.1752e+01     0.2760     33.480    37.8460 0.0000e+00
  52.433724    21.0328     5.0657    220.294 9.0945e+01     0.2948     33.728    37.7839 0.0000e+00
  52.172077    20.8382     5.1068    222.084 8.7165e+01     0.3065     33.976    37.7436 0.0000e+00
  51.970054    20.6166     5.1536    224.119 8.1015e+01     0.3025     34.224    37.7759 0.0000e+00
  51.842896    20.4253     5.1885    225.647 7.8112e+01     0.3026     34.472    37.8425 0.0000e+00
  51.748955    20.2963     5.1902    225.698 8.4735e+01     0.3092     34.719    37.8808 0.0000e+00
  51.642611    20.2065     5.2066    226.398 8.7404e+01     0.3192     34.967    37.8737 0.0000e+00
  51.510308    20.1194     5.2505    228.301 8.2396e+01     0.3241     35.215    37.8426 0.0000e+00
  51.378545    20.0191     5.2970    230.318 7.4776e+01     0.3486     35.463    37.8237 0.0000e+00
  51.291321    19.9171     5.3358    232.003 7.2878e+01     0.3314     35.711    37.8431 0.0000e+00
  51.228858    19.8306     5.3511    232.670 7.6047e+01     0.3261     35.960    37.8693 0.0000e+00
  51.185653    19.7624     5.3518    232.719 7.7129e+01     0.3253     36.207    37.8949 0.0000e+00
  51.154599    19.7150     5.3574    232.955 7.5363e+01     0.3555     36.455    37.9119 0.0000e+00
  51.115844    19.6839     5.3560    232.889 7.0197e+01     0.2910     36.703    37.9077 0.0000e+00
  51.042575    19.6492     5.3469    232.475 6.9523e+01     0.2938     36.951    37.8778 0.0000e+00
  50.923036    19.5896     5.3271    231.602 6.9108e+01     0.2848     37.199    37.8318 0.0000e+00
  50.792250    19.4958     5.3093    230.822 6.9254e+01     0.2752     37.447    37.8073 0.0000e+00
  50.657234    19.3806     5.2951    230.207 6.8785e+01     0.2829     37.695    37.7985 0.0000e+00
  50.522272    19.2466     5.2971    230.294 6.7126e+01     0.2871     37.943    37.8069 0.0000e+00
  50.405688    19.1150     5.3143    231.049 6.6133e+01     0.2998     38.191    37.8283 0.0000e+00
  50.300355    19.0065     5.3387    232.117 6.6964e+01     0.2836     38.439    37.8383 0.0000e+00
  50.173942    18.9102     5.3381    232.055 6.6059e+01     0.3197     38.687    37.8192 0.0000e+00
  50.006442    18.7991     5.3298    231.673 6.3691e+01     0.3142     38.935    37.7786 0.0000e+00
  49.791112    18.6546     5.3414    232.167 6.1962e+01     0.3735     39.183    37.7276 0.0000e+00
  49.534465    18.4666     5.3621    233.056 6.1643e+01     0.3659     39.431    37.6807 0.0000e+00
  49.280132    18.2385     5.3778    233.719 6.0835e+01     0.3574     39.679    37.6722 0.0000e+00
  49.052067    18.0022     5.3666    233.212 6.0097e+01     0.3414     39.927    37.6936 0.0000e+00
  48.843307    17.7820     5.3432    232.187 6.0204e+01     0.3416     40.175    37.7167 0.0000e+00
  48.654298    17.5785     5.3415    232.113 5.9552e+01     0.3658     40.423    37.7414 0.0000e+00
  48.508577    17.3975     5.3740    233.520 5.7096e+01     0.3959     40.671    37.7829 0.0000e+00
  48.411283    17.2593     5.4110    235.121 5.5228e+01     0.4030     40.919    37.8269 0.0000e+00
  48.333575    17.1653     5.4363    236.212 5.5787e+01     0.4800     41.167    37.8468 0.0000e+00
  48.259981    17.0918     5.4326    236.044 5.5539e+01     0.5070     41.415    37.8510 0.0000e+00
  48.193043    17.0226     5.4242    235.673 5.3908e+01     0.5191     41.662    37.8570 0.0000e+00
  48.135736    16.9552     5.4164    235.347 5.1772e+01     0.4821     41.910    37.8698 0.0000e+00
  48.086819    16.8900     5.4076    234.960 5.0977e+01     0.4631     42.158    37.8881 0.0000e+00
  48.043288    16.8311     5.4017    234.698 5.0982e+01     0.4726     42.407    37.9050 0.0000e+00
  47.992301    16.7827     5.4089    235.004 5.1231e+01     0.4404     42.654    37.9055 0.0000e+00
  47.928735    16.7363     5.4377    236.260 5.0334e+01     0.4700     42.902    37.8929 0.0000e+00
  47.875455    16.6862     5.4587    237.156 4.7334e+01     0.4921     43.150    37.8928 0.0000e+00
  47.835040    16.6397     5.4703    237.652 4.6200e+01     0.4856     43.398    37.9009 0.0000e+00
  47.797712    16.5959     5.4871    238.396 4.4813e+01     0.4907     43.647    37.9091 0.0000e+00
  47.765299    16.5501     5.5053    239.197 4.4376e+01     0.5040     43.894    37.9237 0.0000e+00
  47.760776    16.5138     5.5012    239.009 4.7091e+01     0.4969     44.142    37.9540 0.0000e+00
  47.741849    16.5058     5.4762    237.912 4.6993e+01     0.4680     44.390    37.9446 0.0000e+00
  47.681278    16.4807     5.4697    237.621 4.5343e+01     0.4549     44.638    37.9143 0.0000e+00
  47.622721    16.4383     5.4570    237.063 4.3436e+01     0.4572     44.886    37.9022 0.0000e+00
  47.579447    16.3842     5.4338    236.062 4.1456e+01     0.4375     45.134    37.9148 0.0000e+00
  47.558415    16.3345     5.4155    235.277 4.0674e+01     0.4603     45.382    37.9433 0.0000e+00
  47.552856    16.3011     5.4127    235.160 4.1014e+01     0.4793     45.630    37.9702 0.0000e+00
  47.549148    16.2925     5.4296    235.882 4.1708e+01     0.4352     45.878    37.9749 0.0000e+00
  47.518062    16.2830     5.4636    237.354 4.0853e+01     0.4546     46.126    37.9560 0.0000e+00
  47.478615    16.2629     5.5014    238.987 3.9602e+01     0.4736     46.374    37.9397 0.0000e+00
  47.435124    16.2315     5.5319    240.313 3.7945e+01     0.5427     46.622    37.9305 0.0000e+00
  47.399698    16.1921     5.5600    241.544 3.5901e+01     0.5077     46.870    37.9362 0.0000e+00
  47.375812    16.1529     5.5753    242.208 3.5812e+01     0.5056     47.117    37.9521 0.0000e+00
  47.365812    16.1275     5.5834    242.561 3.6477e+01     0.4677     47.366    37.9673 0.0000e+00
  47.344988    16.1138     5.5797    242.393 3.6055e+01     0.4052     47.614    37.9616 0.0000e+00
  47.311631    16.0944     5.5669    241.831 3.5057e+01     0.3498     47.862    37.9500 0.0000e+00
  47.273326    16.0666     5.5528    241.213 3.3780e+01     0.3631     48.110    37.9421 0.0000e+00
  47.226767    16.0286     5.5416    240.726 3.3040e+01     0.2931     48.357    37.9363 0.0000e+00
  47.181534    15.9777     5.5355    240.455 3.3373e+01     0.3100     48.605    37.9442 0.0000e+00
  47.152546    15.9316     5.5273    240.099 3.3340e+01     0.2882     48.854    37.9621 0.0000e+00
  47.133758    15.8998     5.5042    239.092 3.2400e+01     0.2758     49.102    37.9755 0.0000e+00
  47.118918    15.8769     5.4780    237.954 3.1261e+01     0.2853     49.350    37.9841 0.0000e+00
  47.105855    15.8567     5.4556    236.982 3.0310e+01     0.3032     49.597    37.9916 0.0000e+00
  47.097101    15.8388     5.4419    236.388 2.9595e+01     0.2982     49.845    38.0007 0.0000e+00
  47.090795    15.8253     5.4336    236.028 2.9322e+01     0.3085     50.094    38.0079 0.0000e+00
  47.081272    15.8158     5.4321    235.959 2.9561e+01     0.3008     50.341    38.0083 0.0000e+00
  47.067172    15.8052     5.4354    236.100 2.9326e+01     0.3818     50.589    38.0057 0.0000e+00
  47.050146    15.7909     5.4439    236.470 2.8273e+01     0.3586     50.837    38.0038 0.0000e+00
  47.033479    15.7745     5.4500    236.734 2.7413e+01     0.3948     51.085    38.0045 0.0000e+00
  47.019472    15.7584     5.4615    237.237 2.6768e+01     0.3882     51.333    38.0072 0.0000e+00
  47.007541    15.7442     5.4707    237.632 2.6560e+01     0.3542     51.581    38.0098 0.0000e+00
  46.996759    15.7329     5.4780    237.948 2.6583e+01     0.3629     51.829    38.0109 0.0000e+00
  46.984328    15.7225     5.4719    237.679 2.5299e+01     0.3910     52.077    38.0095 0.0000e+00
  46.967959    15.7103     5.4641    237.344 2.4881e+01     0.3542     52.325    38.0063 0.0000e+00
  46.950965    15.6945     5.4649    237.382 2.4732e+01     0.3946     52.573    38.0060 0.0000e+00
  46.935942    15.6763     5.4717    237.671 2.4318e+01     0.3620     52.820    38.0097 0.0000e+00
  46.919575    15.6600     5.4708    237.630 2.4594e+01     0.4028     53.069    38.0105 0.0000e+00
  46.896266    15.6448     5.4546    236.920 2.3943e+01     0.3495     53.317    38.0039 0.0000e+00
  46.870329    15.6253     5.4315    235.917 2.3463e+01     0.3598     53.564    37.9990 0.0000e+00
  46.848881    15.6017     5.4095    234.960 2.2671e+01     0.3431     53.813    38.0022 0.0000e+00
  46.832865    15.5775     5.3911    234.167 2.1546e+01     0.3887     54.060    38.0109 0.0000e+00
  46.820646    15.5560     5.3817    233.763 2.1249e+01     0.3263     54.308    38.0205 0.0000e+00
  46.802868    15.5377     5.3666    233.102 2.1201e+01     0.3781     54.556    38.0218 0.0000e+00
  46.771941    15.5166     5.3358    231.755 2.1340e+01     0.3718     54.804    38.0138 0.0000e+00
  46.721712    15.4866     5.2793    229.293 2.1067e+01     0.3794     55.052    37.9969 0.0000e+00
  46.664913    15.4434     5.2210    226.759 2.0577e+01     0.3994     55.300    37.9867 0.0000e+00
  46.613383    15.3939     5.1705    224.563 2.0094e+01     0.4175     55.548    37.9874 0.0000e+00
  46.574284    15.3444     5.1385    223.169 1.9627e+01     0.4510     55.796    37.9995 0.0000e+00
  46.544844    15.3011     5.1165    222.216 1.9128e+01     0.4757     56.044    38.0144 0.0000e+00
