       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      9.700 -9.990e-29 -9.990e-29 -9.990e-29
      9.832  44.605799     0.1068    13.3604     5.1576      9.800    28.7476    38.1329 0.0000e+00
      9.979  44.605112     0.1378    13.3598     5.1549      9.900    28.7476    38.1328 0.0000e+00
     10.080  44.604577     0.0983    13.3595     5.1552     10.000    28.7475    38.1326 0.0000e+00
     10.181  44.604221     0.1103    13.3591     5.1554     10.100    28.7475    38.1325 0.0000e+00
     10.282  44.603946     0.1098    13.3588     5.1555     10.200    28.7476    38.1325 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     10.300 -9.990e-29 -9.990e-29 -9.990e-29
     10.462  44.603488     0.1334    13.3583     5.1582     10.400    28.7477    38.1325 0.0000e+00
     10.584  44.603110     0.1236    13.3579     5.1601     10.500    28.7478    38.1325 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     10.600 -9.990e-29 -9.990e-29 -9.990e-29
     10.737  44.602440     0.1035    13.3573     5.1596     10.700    28.7478    38.1324 0.0000e+00
     10.887  44.601624     0.0960    13.3566     5.1620     10.800    28.7479    38.1322 0.0000e+00
     10.988  44.601091     0.0979    13.3560     5.1610     10.900    28.7480    38.1322 0.0000e+00
     11.088  44.600549     0.1176    13.3555     5.1583     11.000    28.7481    38.1322 0.0000e+00
     11.189  44.600075     0.1351    13.3551     5.1570     11.100    28.7482    38.1321 0.0000e+00
     11.290  44.599779     0.1492    13.3547     5.1559     11.200    28.7483    38.1322 0.0000e+00
     11.391  44.599673     0.1355    13.3545     5.1546     11.300    28.7484    38.1323 0.0000e+00
     11.492  44.599661     0.1461    13.3543     5.1542     11.400    28.7485    38.1324 0.0000e+00
     11.593  44.599704     0.1615    13.3543     5.1563     11.500    28.7485    38.1324 0.0000e+00
     11.693  44.599825     0.1672    13.3543     5.1602     11.600    28.7486    38.1325 0.0000e+00
     11.794  44.599898     0.1904    13.3543     5.1613     11.700    28.7486    38.1325 0.0000e+00
     11.895  44.599835     0.1720    13.3542     5.1640     11.800    28.7485    38.1324 0.0000e+00
     11.996  44.599805     0.1719    13.3541     5.1678     11.900    28.7486    38.1325 0.0000e+00
     12.097  44.599803     0.1779    13.3540     5.1723     12.000    28.7487    38.1325 0.0000e+00
     12.197  44.599674     0.1908    13.3539     5.1752     12.100    28.7486    38.1324 0.0000e+00
     12.298  44.599531     0.1830    13.3538     5.1762     12.200    28.7486    38.1323 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     12.300 -9.990e-29 -9.990e-29 -9.990e-29
     12.454  44.599439     0.1721    13.3536     5.1728     12.400    28.7487    38.1324 0.0000e+00
     12.600  44.599177     0.2246    13.3533     5.1729     12.500    28.7487    38.1324 0.0000e+00
     12.701  44.599027     0.1972    13.3532     5.1662     12.600    28.7488    38.1324 0.0000e+00
     12.802  44.599102     0.1986    13.3532     5.1649     12.700    28.7487    38.1323 0.0000e+00
     12.903  44.599312     0.2161    13.3534     5.1645     12.800    28.7487    38.1323 0.0000e+00
     13.004  44.599740     0.1849    13.3538     5.1614     12.900    28.7486    38.1323 0.0000e+00
     13.104  44.600518     0.2088    13.3544     5.1620     13.000    28.7486    38.1324 0.0000e+00
     13.205  44.601685     0.1924    13.3552     5.1598     13.100    28.7486    38.1327 0.0000e+00
     13.306  44.602913     0.2074    13.3560     5.1592     13.200    28.7487    38.1330 0.0000e+00
     13.407  44.603781     0.2030    13.3565     5.1606     13.300    28.7488    38.1333 0.0000e+00
     13.508  44.604276     0.2175    13.3569     5.1652     13.400    28.7487    38.1333 0.0000e+00
     13.609  44.604484     0.1996    13.3571     5.1653     13.500    28.7486    38.1333 0.0000e+00
     13.710  44.604435     0.2037    13.3570     5.1654     13.600    28.7486    38.1332 0.0000e+00
     13.810  44.604226     0.2195    13.3569     5.1648     13.700    28.7485    38.1331 0.0000e+00
     13.911  44.604066     0.2228    13.3570     5.1618     13.800    28.7484    38.1328 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     13.900 -9.990e-29 -9.990e-29 -9.990e-29
     14.066  44.604346     0.2031    13.3573     5.1569     14.000    28.7482    38.1327 0.0000e+00
     14.213  44.605429     0.2499    13.3580     5.1525     14.100    28.7482    38.1330 0.0000e+00
     14.314  44.606516     0.2246    13.3588     5.1499     14.200    28.7482    38.1332 0.0000e+00
     14.415  44.607750     0.2441    13.3598     5.1427     14.300    28.7482    38.1333 0.0000e+00
     14.516  44.609498     0.2522    13.3612     5.1485     14.400    28.7481    38.1335 0.0000e+00
     14.617  44.611679     0.2518    13.3626     5.1507     14.500    28.7482    38.1341 0.0000e+00
     14.718  44.613819     0.2359    13.3641     5.1524     14.600    28.7483    38.1346 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     14.700 -9.990e-29 -9.990e-29 -9.990e-29
     14.872  44.616505     0.2473    13.3661     5.1526     14.800    28.7483    38.1351 0.0000e+00
     15.019  44.618467     0.2207    13.3677     5.1526     14.900    28.7480    38.1354 0.0000e+00
     15.120  44.619811     0.2679    13.3689     5.1572     15.000    28.7479    38.1354 0.0000e+00
     15.221  44.620959     0.2301    13.3697     5.1526     15.100    28.7479    38.1357 0.0000e+00
     15.322  44.621621     0.2485    13.3704     5.1534     15.200    28.7477    38.1356 0.0000e+00
     15.423  44.621997     0.3094    13.3707     5.1521     15.300    28.7476    38.1355 0.0000e+00
     15.524  44.621968     0.2737    13.3707     5.1535     15.400    28.7475    38.1354 0.0000e+00
     15.625  44.621315     0.2658    13.3701     5.1557     15.500    28.7477    38.1354 0.0000e+00
     15.725  44.619958     0.2785    13.3689     5.1562     15.600    28.7478    38.1353 0.0000e+00
     15.826  44.617717     0.2595    13.3671     5.1547     15.700    28.7479    38.1349 0.0000e+00
     15.927  44.614850     0.2468    13.3650     5.1549     15.800    28.7478    38.1341 0.0000e+00
     16.028  44.612078     0.2543    13.3630     5.1567     15.900    28.7477    38.1335 0.0000e+00
     16.129  44.609525     0.2569    13.3609     5.1593     16.000    28.7478    38.1331 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     16.100 -9.990e-29 -9.990e-29 -9.990e-29
     16.294  44.605493     0.2993    13.3578     5.1636     16.200    28.7478    38.1323 0.0000e+00
     16.431  44.602679     0.2421    13.3557     5.1651     16.300    28.7478    38.1316 0.0000e+00
     16.532  44.601411     0.2621    13.3545     5.1683     16.400    28.7480    38.1316 0.0000e+00
     16.633  44.600409     0.2540    13.3534     5.1690     16.500    28.7482    38.1316 0.0000e+00
     16.734  44.599411     0.2503    13.3525     5.1674     16.600    28.7484    38.1316 0.0000e+00
     16.835  44.598269     0.2422    13.3515     5.1664     16.700    28.7485    38.1314 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     16.800 -9.990e-29 -9.990e-29 -9.990e-29
     17.035  44.596064     0.2584    13.3498     5.1571     16.900    28.7485    38.1309 0.0000e+00
     17.137  44.595353     0.2746    13.3492     5.1577     17.000    28.7486    38.1308 0.0000e+00
     17.238  44.594778     0.2690    13.3487     5.1578     17.100    28.7486    38.1307 0.0000e+00
     17.339  44.594377     0.2778    13.3483     5.1589     17.200    28.7487    38.1307 0.0000e+00
     17.439  44.594116     0.2814    13.3480     5.1603     17.300    28.7487    38.1306 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     17.400 -9.990e-29 -9.990e-29 -9.990e-29
     17.603  44.593989     0.2872    13.3478     5.1669     17.500    28.7487    38.1307 0.0000e+00
     17.741  44.594155     0.3057    13.3478     5.1677     17.600    28.7488    38.1308 0.0000e+00
     17.842  44.594392     0.3230    13.3478     5.1720     17.700    28.7490    38.1310 0.0000e+00
     17.943  44.594661     0.3098    13.3479     5.1735     17.800    28.7490    38.1310 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     17.900 -9.990e-29 -9.990e-29 -9.990e-29
     18.103  44.595064     0.3148    13.3482     5.1727     18.000    28.7490    38.1311 0.0000e+00
     18.245  44.595364     0.3291    13.3483     5.1749     18.100    28.7490    38.1312 0.0000e+00
     18.346  44.595605     0.3751    13.3485     5.1756     18.200    28.7490    38.1312 0.0000e+00
     18.447  44.595944     0.3705    13.3488     5.1740     18.300    28.7489    38.1312 0.0000e+00
     18.548  44.596432     0.3828    13.3491     5.1723     18.400    28.7489    38.1313 0.0000e+00
     18.649  44.597015     0.3414    13.3495     5.1712     18.500    28.7490    38.1314 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     18.600 -9.990e-29 -9.990e-29 -9.990e-29
     18.805  44.597849     0.3458    13.3499     5.1734     18.700    28.7491    38.1317 0.0000e+00
     18.951  44.598205     0.3821    13.3500     5.1724     18.800    28.7492    38.1318 0.0000e+00
     19.052  44.598127     0.3609    13.3501     5.1697     18.900    28.7491    38.1317 0.0000e+00
     19.153  44.598068     0.3721    13.3501     5.1731     19.000    28.7490    38.1316 0.0000e+00
     19.254  44.598150     0.3404    13.3501     5.1734     19.100    28.7490    38.1316 0.0000e+00
     19.355  44.598341     0.3439    13.3502     5.1742     19.200    28.7491    38.1317 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     19.300 -9.990e-29 -9.990e-29 -9.990e-29
     19.535  44.598592     0.3591    13.3502     5.1726     19.400    28.7491    38.1318 0.0000e+00
     19.657  44.598342     0.3581    13.3499     5.1760     19.500    28.7492    38.1318 0.0000e+00
     19.758  44.597958     0.3615    13.3496     5.1768     19.600    28.7491    38.1317 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     19.700 -9.990e-29 -9.990e-29 -9.990e-29
     19.945  44.597154     0.3436    13.3490     5.1768     19.800    28.7491    38.1314 0.0000e+00
     20.060  44.596611     0.3304    13.3485     5.1777     19.900    28.7492    38.1314 0.0000e+00
     20.161  44.596121     0.3260    13.3482     5.1770     20.000    28.7491    38.1312 0.0000e+00
