       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      6.474  44.439417     0.2462    13.2083     5.3103      6.423    28.7752    38.1275 -9.990e-29
      6.482  44.449988     0.2794    13.2181     5.2879      6.430    28.7733    38.1278 -9.990e-29
      6.490  44.456409     0.3104    13.2249     5.2636      6.438    28.7714    38.1271 -9.990e-29
      6.497  44.460471     0.3524    13.2297     5.2482      6.445    28.7697    38.1262 -9.990e-29
      6.503  44.463100     0.3535    13.2330     5.2337      6.451    28.7684    38.1254 -9.990e-29
      6.507  44.464829     0.3558    13.2353     5.2228      6.455    28.7674    38.1247 -9.990e-29
      6.509  44.466021     0.3768    13.2370     5.2090      6.457    28.7666    38.1242 -9.990e-29
      6.510  44.466903     0.3657    13.2383     5.2040      6.458    28.7660    38.1237 -9.990e-29
      6.510  44.467620     0.3878    13.2393     5.2020      6.458    28.7655    38.1234 -9.990e-29
      6.510  44.468234     0.3724    13.2401     5.1977      6.458    28.7652    38.1232 -9.990e-29
      6.512  44.468877     0.3801    13.2409     5.1939      6.460    28.7649    38.1230 -9.990e-29
      6.514  44.469634     0.4343    13.2418     5.1902      6.462    28.7645    38.1228 -9.990e-29
      6.516  44.470364     0.3923    13.2426     5.1871      6.464    28.7643    38.1227 -9.990e-29
      6.519  44.470812     0.3989    13.2431     5.1860      6.467    28.7641    38.1226 -9.990e-29
      6.522  44.470777     0.3712    13.2434     5.1803      6.470    28.7638    38.1223 -9.990e-29
      6.523  44.470299     0.3989    13.2434     5.1759      6.471    28.7635    38.1219 -9.990e-29
      6.523  44.469692     0.3978    13.2433     5.1685      6.471    28.7631    38.1214 -9.990e-29
      6.522  44.469176     0.4199    13.2433     5.1636      6.470    28.7627    38.1209 -9.990e-29
      6.522  44.468854     0.3746    13.2433     5.1578      6.470    28.7625    38.1206 -9.990e-29
      6.521  44.468814     0.4243    13.2435     5.1572      6.469    28.7622    38.1203 -9.990e-29
      6.522  44.468912     0.3746    13.2437     5.1541      6.470    28.7621    38.1202 -9.990e-29
      6.525  44.469140     0.3945    13.2439     5.1559      6.473    28.7621    38.1202 -9.990e-29
      6.529  44.469671     0.4553    13.2443     5.1623      6.477    28.7621    38.1203 -9.990e-29
      6.534  44.470386     0.3779    13.2447     5.1565      6.482    28.7622    38.1206 -9.990e-29
      6.540  44.471033     0.4243    13.2450     5.1631      6.488    28.7624    38.1209 -9.990e-29
      6.545  44.471456     0.3867    13.2451     5.1674      6.493    28.7626    38.1212 -9.990e-29
      6.550  44.471532     0.4089    13.2451     5.1643      6.498    28.7627    38.1213 -9.990e-29
      6.552  44.471217     0.4133    13.2449     5.1646      6.500    28.7626    38.1212 -9.990e-29
      6.552  44.470772     0.3635    13.2448     5.1662      6.500    28.7624    38.1209 -9.990e-29
      6.550  44.470484     0.4243    13.2448     5.1625      6.498    28.7622    38.1206 -9.990e-29
      6.549  44.470267     0.3558    13.2449     5.1673      6.497    28.7619    38.1203 -9.990e-29
      6.549  44.470056     0.4122    13.2451     5.1680      6.497    28.7616    38.1199 -9.990e-29
      6.552  44.470238     0.4066    13.2456     5.1670      6.500    28.7612    38.1196 -9.990e-29
      6.558  44.470975     0.3901    13.2463     5.1695      6.506    28.7611    38.1196 -9.990e-29
      6.566  44.471813     0.3989    13.2469     5.1701      6.514    28.7611    38.1198 -9.990e-29
      6.574  44.472317     0.4011    13.2472     5.1681      6.522    28.7612    38.1199 -9.990e-29
      6.582  44.472322     0.4133    13.2472     5.1702      6.530    28.7612    38.1199 -9.990e-29
      6.587  44.471889     0.4144    13.2469     5.1644      6.535    28.7612    38.1198 -9.990e-29
      6.589  44.471252     0.3901    13.2466     5.1613      6.537    28.7610    38.1195 -9.990e-29
      6.588  44.470720     0.3912    13.2463     5.1587      6.536    28.7609    38.1193 -9.990e-29
      6.585  44.470512     0.3812    13.2462     5.1566      6.533    28.7608    38.1192 -9.990e-29
      6.581  44.470530     0.4177    13.2462     5.1577      6.529    28.7608    38.1192 -9.990e-29
      6.578  44.470636     0.4277    13.2463     5.1604      6.526    28.7608    38.1192 -9.990e-29
      6.575  44.470884     0.4819    13.2466     5.1657      6.523    28.7607    38.1192 -9.990e-29
      6.574  44.471223     0.4100    13.2469     5.1659      6.522    28.7607    38.1192 -9.990e-29
      6.574  44.471470     0.4188    13.2472     5.1776      6.522    28.7605    38.1191 -9.990e-29
      6.576  44.471577     0.3989    13.2475     5.1808      6.524    28.7603    38.1189 -9.990e-29
      6.578  44.471537     0.4033    13.2477     5.1824      6.526    28.7601    38.1187 -9.990e-29
      6.582  44.471288     0.4055    13.2478     5.1733      6.530    28.7598    38.1183 -9.990e-29
      6.588  44.471092     0.4232    13.2479     5.1755      6.536    28.7596    38.1181 -9.990e-29
      6.595  44.471407     0.4210    13.2483     5.1735      6.543    28.7594    38.1180 -9.990e-29
      6.605  44.472234     0.4055    13.2489     5.1709      6.552    28.7594    38.1181 -9.990e-29
      6.617  44.473217     0.4232    13.2495     5.1661      6.564    28.7596    38.1185 -9.990e-29
      6.629  44.474002     0.3867    13.2500     5.1651      6.576    28.7596    38.1187 -9.990e-29
      6.639  44.474427     0.4033    13.2503     5.1626      6.586    28.7597    38.1188 -9.990e-29
      6.645  44.474464     0.4078    13.2504     5.1637      6.592    28.7596    38.1188 -9.990e-29
      6.646  44.474084     0.3967    13.2503     5.1707      6.593    28.7594    38.1185 -9.990e-29
      6.640  44.473536     0.4066    13.2502     5.1704      6.587    28.7591    38.1181 -9.990e-29
      6.629  44.473257     0.4243    13.2503     5.1731      6.576    28.7588    38.1177 -9.990e-29
      6.613  44.473247     0.4011    13.2505     5.1772      6.560    28.7586    38.1175 -9.990e-29
      6.597  44.473254     0.4011    13.2509     5.1756      6.545    28.7582    38.1171 -9.990e-29
      6.583  44.473271     0.3989    13.2514     5.1767      6.531    28.7577    38.1166 -9.990e-29
      6.575  44.473519     0.4100    13.2522     5.1800      6.523    28.7571    38.1161 -9.990e-29
      6.575  44.474165     0.4089    13.2532     5.1734      6.523    28.7566    38.1157 -9.990e-29
      6.583  44.475095     0.3889    13.2543     5.1685      6.531    28.7562    38.1155 -9.990e-29
      6.597  44.475967     0.4221    13.2553     5.1703      6.545    28.7559    38.1153 -9.990e-29
      6.615  44.476497     0.4221    13.2559     5.1666      6.562    28.7557    38.1152 -9.990e-29
      6.633  44.476604     0.4277    13.2562     5.1684      6.580    28.7555    38.1150 -9.990e-29
      6.649  44.476370     0.4078    13.2562     5.1628      6.596    28.7553    38.1148 -9.990e-29
      6.659  44.475933     0.4144    13.2560     5.1634      6.606    28.7551    38.1145 -9.990e-29
      6.662  44.475340     0.4100    13.2557     5.1572      6.609    28.7550    38.1143 -9.990e-29
      6.658  44.474692     0.4343    13.2555     5.1586      6.605    28.7547    38.1138 -9.990e-29
      6.649  44.474281     0.3867    13.2554     5.1551      6.596    28.7545    38.1136 -9.990e-29
      6.636  44.474219     0.4055    13.2554     5.1566      6.583    28.7545    38.1135 -9.990e-29
      6.623  44.474281     0.3934    13.2554     5.1540      6.570    28.7545    38.1136 -9.990e-29
      6.611  44.474325     0.4055    13.2555     5.1567      6.558    28.7545    38.1135 -9.990e-29
      6.604  44.474439     0.3967    13.2557     5.1552      6.551    28.7543    38.1134 -9.990e-29
      6.602  44.474823     0.3889    13.2560     5.1561      6.550    28.7543    38.1135 -9.990e-29
      6.608  44.475473     0.3967    13.2565     5.1586      6.555    28.7543    38.1136 -9.990e-29
      6.618  44.476098     0.4310    13.2569     5.1622      6.565    28.7544    38.1138 -9.990e-29
      6.633  44.476516     0.4022    13.2570     5.1604      6.580    28.7546    38.1141 -9.990e-29
      6.648  44.476680     0.4078    13.2570     5.1675      6.595    28.7547    38.1143 -9.990e-29
      6.662  44.476567     0.4011    13.2568     5.1667      6.609    28.7548    38.1143 -9.990e-29
      6.670  44.476213     0.3967    13.2564     5.1717      6.617    28.7550    38.1144 -9.990e-29
      6.672  44.475702     0.4210    13.2561     5.1733      6.619    28.7549    38.1142 -9.990e-29
      6.668  44.475217     0.3945    13.2561     5.1738      6.615    28.7545    38.1137 -9.990e-29
      6.658  44.475013     0.4642    13.2563     5.1742      6.605    28.7542    38.1133 -9.990e-29
      6.646  44.475144     0.3945    13.2568     5.1666      6.593    28.7538    38.1130 -9.990e-29
      6.634  44.475411     0.4188    13.2576     5.1641      6.581    28.7532    38.1124 -9.990e-29
      6.626  44.475701     0.3856    13.2584     5.1653      6.573    28.7526    38.1119 -9.990e-29
      6.622  44.476098     0.4111    13.2593     5.1598      6.569    28.7520    38.1114 -9.990e-29
      6.623  44.476725     0.4321    13.2603     5.1627      6.570    28.7515    38.1110 -9.990e-29
      6.631  44.477533     0.3812    13.2614     5.1630      6.578    28.7510    38.1107 -9.990e-29
      6.642  44.478232     0.4033    13.2622     5.1653      6.589    28.7507    38.1105 -9.990e-29
      6.656  44.478649     0.4089    13.2626     5.1643      6.603    28.7506    38.1105 -9.990e-29
      6.671  44.478844     0.4111    13.2628     5.1654      6.618    28.7506    38.1105 -9.990e-29
      6.684  44.478922     0.3912    13.2629     5.1636      6.631    28.7505    38.1105 -9.990e-29
      6.693  44.478861     0.4044    13.2630     5.1631      6.640    28.7504    38.1103 -9.990e-29
      6.696  44.478584     0.4011    13.2629     5.1651      6.643    28.7503    38.1101 -9.990e-29
      6.692  44.478213     0.4000    13.2629     5.1627      6.639    28.7500    38.1098 -9.990e-29
      6.681  44.478010     0.3845    13.2630     5.1668      6.628    28.7498    38.1095 -9.990e-29
      6.667  44.478105     0.3701    13.2632     5.1724      6.614    28.7496    38.1094 -9.990e-29
      6.652  44.478330     0.3657    13.2634     5.1714      6.599    28.7496    38.1094 -9.990e-29
      6.638  44.478527     0.3724    13.2635     5.1747      6.585    28.7497    38.1095 -9.990e-29
      6.630  44.478718     0.3635    13.2636     5.1701      6.577    28.7497    38.1096 -9.990e-29
      6.629  44.478962     0.4044    13.2638     5.1696      6.576    28.7497    38.1096 -9.990e-29
      6.635  44.479287     0.4266    13.2639     5.1639      6.582    28.7498    38.1098 -9.990e-29
      6.647  44.479637     0.4553    13.2641     5.1686      6.594    28.7499    38.1100 -9.990e-29
      6.665  44.479858     0.3712    13.2641     5.1583      6.612    28.7501    38.1102 -9.990e-29
      6.684  44.479859     0.3889    13.2638     5.1655      6.631    28.7503    38.1105 -9.990e-29
      6.701  44.479639     0.3646    13.2634     5.1685      6.648    28.7506    38.1106 -9.990e-29
      6.715  44.479223     0.3602    13.2628     5.1704      6.662    28.7509    38.1108 -9.990e-29
      6.724  44.478649     0.3779    13.2620     5.1759      6.671    28.7512    38.1111 -9.990e-29
      6.725  44.477964     0.3912    13.2613     5.1754      6.672    28.7514    38.1111 -9.990e-29
      6.720  44.477343     0.3801    13.2608     5.1768      6.667    28.7514    38.1110 -9.990e-29
      6.708  44.477014     0.3790    13.2605     5.1736      6.655    28.7515    38.1110 -9.990e-29
      6.694  44.476945     0.3701    13.2604     5.1701      6.641    28.7515    38.1111 -9.990e-29
      6.680  44.476976     0.3779    13.2604     5.1698      6.627    28.7516    38.1111 -9.990e-29
      6.669  44.477079     0.3724    13.2606     5.1624      6.616    28.7514    38.1110 -9.990e-29
      6.662  44.477362     0.3856    13.2610     5.1567      6.609    28.7513    38.1109 -9.990e-29
      6.662  44.477882     0.3757    13.2616     5.1552      6.609    28.7511    38.1108 -9.990e-29
      6.666  44.478451     0.4044    13.2621     5.1535      6.613    28.7510    38.1108 -9.990e-29
      6.674  44.478828     0.3823    13.2625     5.1564      6.621    28.7509    38.1108 -9.990e-29
      6.684  44.478904     0.3945    13.2626     5.1620      6.631    28.7508    38.1107 -9.990e-29
      6.692  44.478681     0.4343    13.2623     5.1627      6.639    28.7509    38.1108 -9.990e-29
      6.697  44.478193     0.3978    13.2619     5.1673      6.644    28.7510    38.1108 -9.990e-29
      6.698  44.477450     0.3934    13.2613     5.1695      6.645    28.7510    38.1106 -9.990e-29
      6.696  44.476605     0.3746    13.2606     5.1651      6.643    28.7511    38.1105 -9.990e-29
      6.692  44.475948     0.4111    13.2600     5.1616      6.639    28.7512    38.1105 -9.990e-29
      6.689  44.475554     0.4155    13.2596     5.1617      6.636    28.7513    38.1105 -9.990e-29
      6.687  44.475422     0.4465    13.2594     5.1611      6.634    28.7514    38.1106 -9.990e-29
      6.688  44.475656     0.3779    13.2594     5.1605      6.635    28.7516    38.1108 -9.990e-29
      6.692  44.476202     0.3701    13.2595     5.1617      6.639    28.7519    38.1113 -9.990e-29
      6.699  44.476850     0.3580    13.2597     5.1653      6.646    28.7522    38.1117 -9.990e-29
      6.708  44.477395     0.3735    13.2600     5.1757      6.655    28.7523    38.1119 -9.990e-29
      6.717  44.477740     0.4144    13.2602     5.1757      6.664    28.7523    38.1120 -9.990e-29
      6.725  44.477879     0.4697    13.2603     5.1729      6.672    28.7523    38.1121 -9.990e-29
      6.730  44.477790     0.3923    13.2604     5.1762      6.676    28.7522    38.1119 -9.990e-29
      6.732  44.477404     0.3823    13.2603     5.1720      6.678    28.7520    38.1116 -9.990e-29
      6.730  44.476738     0.3945    13.2600     5.1755      6.676    28.7518    38.1113 -9.990e-29
      6.727  44.476081     0.4055    13.2597     5.1731      6.674    28.7516    38.1109 -9.990e-29
      6.723  44.475724     0.4443    13.2595     5.1673      6.670    28.7515    38.1108 -9.990e-29
      6.719  44.475679     0.3967    13.2595     5.1654      6.666    28.7515    38.1107 -9.990e-29
      6.716  44.475791     0.4564    13.2596     5.1665      6.663    28.7515    38.1108 -9.990e-29
      6.715  44.475953     0.3934    13.2598     5.1648      6.662    28.7514    38.1107 -9.990e-29
      6.715  44.476210     0.3901    13.2601     5.1639      6.662    28.7513    38.1107 -9.990e-29
      6.716  44.476592     0.4055    13.2606     5.1674      6.663    28.7511    38.1105 -9.990e-29
      6.719  44.477013     0.4243    13.2611     5.1668      6.666    28.7509    38.1104 -9.990e-29
      6.722  44.477447     0.4089    13.2616     5.1638      6.669    28.7507    38.1103 -9.990e-29
      6.725  44.477870     0.3934    13.2621     5.1702      6.672    28.7505    38.1102 -9.990e-29
      6.728  44.478164     0.4243    13.2624     5.1657      6.675    28.7505    38.1102 -9.990e-29
      6.728  44.478233     0.4078    13.2626     5.1707      6.675    28.7503    38.1101 -9.990e-29
      6.728  44.478118     0.3823    13.2628     5.1696      6.675    28.7500    38.1098 -9.990e-29
      6.727  44.478060     0.3967    13.2630     5.1702      6.674    28.7498    38.1095 -9.990e-29
      6.726  44.478247     0.3923    13.2633     5.1748      6.673    28.7496    38.1094 -9.990e-29
      6.728  44.478566     0.4066    13.2637     5.1696      6.675    28.7495    38.1093 -9.990e-29
      6.731  44.478858     0.3823    13.2641     5.1658      6.677    28.7493    38.1092 -9.990e-29
      6.737  44.479159     0.4111    13.2644     5.1596      6.683    28.7492    38.1092 -9.990e-29
      6.745  44.479534     0.3912    13.2648     5.1562      6.691    28.7491    38.1091 -9.990e-29
      6.753  44.479868     0.4199    13.2650     5.1506      6.699    28.7491    38.1092 -9.990e-29
      6.761  44.480065     0.4078    13.2652     5.1510      6.707    28.7491    38.1092 -9.990e-29
      6.768  44.480094     0.3945    13.2652     5.1432      6.714    28.7491    38.1092 -9.990e-29
      6.771  44.479966     0.4011    13.2652     5.1478      6.717    28.7490    38.1091 -9.990e-29
      6.771  44.479709     0.3945    13.2652     5.1537      6.717    28.7488    38.1089 -9.990e-29
      6.768  44.479336     0.3712    13.2651     5.1547      6.714    28.7486    38.1086 -9.990e-29
