       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      6.953  44.358495     0.3060    13.1720     5.3315      6.898    28.7505    38.0858 0.0000e+00
      7.042  44.358662     0.3226    13.1720     5.3373      6.986    28.7506    38.0860 0.0000e+00
      7.130  44.358919     0.3159    13.1721     5.3407      7.073    28.7506    38.0861 0.0000e+00
      7.219  44.359291     0.3370    13.1724     5.3453      7.162    28.7506    38.0861 0.0000e+00
      7.312  44.359767     0.3281    13.1727     5.3506      7.254    28.7506    38.0862 0.0000e+00
      7.412  44.360406     0.3015    13.1732     5.3530      7.353    28.7505    38.0863 0.0000e+00
      7.520  44.361216     0.3491    13.1738     5.3464      7.460    28.7505    38.0864 0.0000e+00
      7.638  44.362002     0.3303    13.1743     5.3453      7.577    28.7506    38.0866 0.0000e+00
      7.765  44.362605     0.3613    13.1748     5.3383      7.703    28.7505    38.0866 0.0000e+00
      7.896  44.362997     0.3591    13.1751     5.3315      7.833    28.7504    38.0866 0.0000e+00
      8.027  44.363200     0.3535    13.1752     5.3221      7.963    28.7505    38.0867 0.0000e+00
      8.154  44.363291     0.3469    13.1753     5.3212      8.089    28.7504    38.0866 0.0000e+00
      8.273  44.363309     0.3403    13.1753     5.3203      8.207    28.7504    38.0866 0.0000e+00
      8.382  44.363214     0.3569    13.1752     5.3239      8.315    28.7504    38.0865 0.0000e+00
      8.481  44.362981     0.3547    13.1750     5.3274      8.414    28.7503    38.0864 0.0000e+00
      8.570  44.362634     0.3513    13.1747     5.3345      8.502    28.7504    38.0864 0.0000e+00
      8.653  44.362269     0.3524    13.1745     5.3399      8.584    28.7502    38.0862 0.0000e+00
      8.735  44.361983     0.3370    13.1742     5.3394      8.666    28.7503    38.0862 0.0000e+00
      8.820  44.361770     0.3347    13.1740     5.3377      8.750    28.7503    38.0861 0.0000e+00
      8.912  44.361524     0.3270    13.1737     5.3326      8.841    28.7504    38.0862 0.0000e+00
      9.014  44.361222     0.3325    13.1734     5.3259      8.942    28.7504    38.0861 0.0000e+00
      9.127  44.360938     0.3204    13.1732     5.3169      9.054    28.7504    38.0860 0.0000e+00
      9.249  44.360707     0.3392    13.1729     5.3145      9.175    28.7505    38.0860 0.0000e+00
      9.374  44.360441     0.3303    13.1725     5.3065      9.299    28.7506    38.0861 0.0000e+00
      9.500  44.359983     0.3292    13.1720     5.3106      9.424    28.7507    38.0861 0.0000e+00
      9.620  44.359293     0.3381    13.1714     5.3121      9.543    28.7508    38.0860 0.0000e+00
      9.734  44.358528     0.3425    13.1708     5.3188      9.657    28.7508    38.0858 0.0000e+00
      9.839  44.357883     0.3535    13.1702     5.3215      9.761    28.7508    38.0857 0.0000e+00
      9.937  44.357460     0.3679    13.1698     5.3239      9.858    28.7509    38.0857 0.0000e+00
     10.031  44.357180     0.3425    13.1694     5.3278      9.951    28.7510    38.0858 0.0000e+00
     10.124  44.356954     0.3524    13.1691     5.3279     10.043    28.7511    38.0858 0.0000e+00
     10.218  44.356799     0.3569    13.1689     5.3359     10.137    28.7512    38.0858 0.0000e+00
     10.314  44.356736     0.3547    13.1688     5.3341     10.232    28.7512    38.0858 0.0000e+00
     10.411  44.356700     0.3558    13.1687     5.3340     10.328    28.7512    38.0858 0.0000e+00
     10.507  44.356600     0.3646    13.1686     5.3315     10.423    28.7512    38.0858 0.0000e+00
     10.603  44.356342     0.3845    13.1683     5.3340     10.519    28.7513    38.0858 0.0000e+00
     10.699  44.355845     0.3956    13.1679     5.3277     10.614    28.7513    38.0857 0.0000e+00
     10.797  44.355134     0.3978    13.1674     5.3251     10.711    28.7512    38.0855 0.0000e+00
     10.900  44.354360     0.4277    13.1669     5.3182     10.813    28.7511    38.0852 0.0000e+00
     11.012  44.353604     0.3989    13.1663     5.3187     10.924    28.7511    38.0850 0.0000e+00
     11.136  44.352884     0.4232    13.1657     5.3174     11.047    28.7511    38.0849 0.0000e+00
     11.270  44.352158     0.4398    13.1650     5.3201     11.180    28.7512    38.0848 0.0000e+00
     11.410  44.351410     0.4664    13.1644     5.3223     11.319    28.7512    38.0846 0.0000e+00
     11.549  44.350753     0.4918    13.1639     5.3268     11.457    28.7512    38.0844 0.0000e+00
     11.679  44.350337     0.4697    13.1636     5.3307     11.586    28.7511    38.0843 0.0000e+00
