       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     56.456  44.573310     0.3524    13.3099     5.1971     56.000    28.7582    38.1311 0.0000e+00
     56.960  44.573598     0.3521    13.3100     5.1957     56.500    28.7582    38.1311 0.0000e+00
     57.464  44.574315     0.3471    13.3104     5.1958     57.000    28.7581    38.1311 0.0000e+00
     57.968  44.575246     0.3716    13.3111     5.2132     57.500    28.7579    38.1311 0.0000e+00
     58.472  44.573149     0.3603    13.3091     5.1973     58.000    28.7582    38.1309 0.0000e+00
     58.976  44.572789     0.3485    13.3085     5.2063     58.500    28.7584    38.1309 0.0000e+00
     59.481  44.572588     0.3309    13.3080     5.1971     59.000    28.7585    38.1309 0.0000e+00
     59.985  44.571146     0.3381    13.3064     5.1969     59.500    28.7589    38.1309 0.0000e+00
     60.489  44.562981     0.3440    13.3001     5.2105     60.000    28.7589    38.1292 0.0000e+00
     60.993  44.556506     0.3285    13.2942     5.2120     60.500    28.7597    38.1287 0.0000e+00
     61.497  44.545465     0.3466    13.2849     5.2129     61.000    28.7605    38.1272 0.0000e+00
